Suburb , 2011, 2012, 2013, 2014 , 2015 , 2016 , 2017 
Beaumaris ,13375 ,13459 ,13602 ,13792 ,13947 ,14172 ,14373 ,
Boronia ,21461 ,21576 ,21750 ,22071 ,22466 ,22936 ,23268 ,
Brighton East ,16087 ,16217 ,16368 ,16473 ,16587 ,16701 ,16742 ,
Brunswick East ,8966 ,9220 ,9892 ,10475 ,11113 ,11766 ,12582 ,
Brunswick West ,13864 ,13987 ,14101 ,14265 ,14443 ,14629 ,14856 ,
Clayton ,18698 ,19727 ,20721 ,21594 ,22678 ,23855 ,25505 ,
Coburg ,26234 ,26532 ,26819 ,27102 ,27392 ,27733 ,28153 ,
Fitzroy ,10214 ,10550 ,10789 ,11010 ,11231 ,11464 ,11673 ,
Langwarrin ,23163 ,23410 ,23692 ,24089 ,24459 ,24792 ,25023 ,
Lysterfield ,6807 ,6837 ,6865 ,6881 ,6895 ,6905 ,6938 ,
Macedon ,3308 ,3358 ,3401 ,3455 ,3492 ,3541 ,3582 ,
Meadow Heights ,15767 ,15784 ,15837 ,15898 ,15936 ,15986 ,16032 ,
Mentone ,12224 ,12579 ,12776 ,13047 ,13356 ,13709 ,13882 ,
Montrose ,6966 ,6992 ,7011 ,7025 ,7051 ,7094 ,7146 ,
Moonee Ponds ,14168 ,14424 ,14638 ,14785 ,14905 ,15084 ,15356 ,
Mount Evelyn ,9615 ,9690 ,9756 ,9825 ,9925 ,10048 ,10139 ,
Murrumbeena ,8983 ,9137 ,9269 ,9441 ,9619 ,9771 ,9871 ,
Springvale ,20712 ,20983 ,21212 ,21633 ,22364 ,22953 ,23428 ,
